Branch,Visit Id,Visit Date Time,Visit Score,Recommend Score,Comments
FC Birmingham,20883345,2026-04-21 13:00:00,97.8,10.0,""
FC Birmingham,20883345,2026-04-21 13:00:00,97.8,10.0,"Brilliant as always! Smooth process, always on theme and staff are great."
FC Birmingham,20883345,2026-04-21 13:00:00,97.8,10.0,Maelle
FC Birmingham,20883345,2026-04-21 13:00:00,97.8,10.0,Super friendly and speedy service! Thanks!
FC Birmingham,20894745,2026-04-22 11:16:00,100.0,,"Didn't have food so couldn't comment,  novel idea on a darts theme, just wish serving staff listened to what I wanted and not brought the wrong thing, apart from that enjoyed my visit."
FC Birmingham,20921858,2026-04-25 02:30:00,100.0,,I came here for an event as there was a work party and the vibe of this place is absolutely amazing and it’s filled with amazing staff. I specifically want to mention Abinash who was our server and was very attentive and quick with our drinks and food. He looks after you very good and has a great personality. The food was also very good and everything was so tasty and tasted fresh. Would definitely recommend.
FC Birmingham,20945702,2026-04-26 15:30:00,100.0,10.0,""
FC Birmingham,20945702,2026-04-26 15:30:00,100.0,10.0,Darts were lovely and drinks came quickly
FC Birmingham,20945702,2026-04-26 15:30:00,100.0,10.0,Maelle
FC Birmingham,20945702,2026-04-26 15:30:00,100.0,10.0,Maelle’s service was fast and she was friendly
FC Birmingham,20946153,2026-04-26 12:22:00,100.0,,"Loved our visit here, the pizzas were incredible and the games on the dart board very good"
FC Bristol,20334850,2026-04-23 12:30:00,85.5,9.0,""
FC Bristol,20334850,2026-04-23 12:30:00,85.5,9.0,All dishes were warm and well presented with garnishes on clean plates.
FC Bristol,20334850,2026-04-23 12:30:00,85.5,9.0,"All food was well presented, and looked appealing."
FC Bristol,20334850,2026-04-23 12:30:00,85.5,9.0,"Food took 30 minutes to come, this seemed a long time given there was no one else there."
FC Bristol,20334850,2026-04-23 12:30:00,85.5,9.0,"Fun place to be, appropriate food and drinks for playing darts, and helpful staff."
FC Bristol,20334850,2026-04-23 12:30:00,85.5,9.0,I had asked about portion sizes and she was helpful.
FC Bristol,20334850,2026-04-23 12:30:00,85.5,9.0,N/A
FC Bristol,20334850,2026-04-23 12:30:00,85.5,9.0,No.
FC Bristol,20334850,2026-04-23 12:30:00,85.5,9.0,She asked if we wanted sauces and we said yes.
FC Bristol,20334850,2026-04-23 12:30:00,85.5,9.0,She asked if we were here to eat or play darts.
FC Bristol,20334850,2026-04-23 12:30:00,85.5,9.0,She came within one minute of sitting down and we hadn't even looked at the menus. We then asked after a considerable wait if we could order food and drinks.
FC Bristol,20334850,2026-04-23 12:30:00,85.5,9.0,She mentioned the prawn skewers may have traces of celery in them.
FC Bristol,20334850,2026-04-23 12:30:00,85.5,9.0,She returned soon after to ask how the food was.
FC Bristol,20334850,2026-04-23 12:30:00,85.5,9.0,Staff were attentive and helpful when required once we had received our food.
FC Bristol,20334850,2026-04-23 12:30:00,85.5,9.0,The drinks were all cool and served in clean glasses.
FC Bristol,20334850,2026-04-23 12:30:00,85.5,9.0,The female toilets were clean and well stocked.
FC Bristol,20334850,2026-04-23 12:30:00,85.5,9.0,The music was quite loud and the air conditioning was on high so it felt a bit chilly.
FC Bristol,20334850,2026-04-23 12:30:00,85.5,9.0,"The outside was clean and clear, there were tables set up outside."
FC Bristol,20334850,2026-04-23 12:30:00,85.5,9.0,The plates were quite small.
FC Bristol,20334850,2026-04-23 12:30:00,85.5,9.0,The two staff we saw were friendly and helpful.
FC Bristol,20334850,2026-04-23 12:30:00,85.5,9.0,"The venue was clean and clear, no dirty tables."
FC Bristol,20334850,2026-04-23 12:30:00,85.5,9.0,"They looked busy, however given it was empty they were likely cleaning or tidying."
FC Bristol,20334850,2026-04-23 12:30:00,85.5,9.0,We had a pleasant lunch out.
FC Bristol,20334850,2026-04-23 12:30:00,85.5,9.0,We waited about 5 minutes for our drinks.
FC Bristol,20334850,2026-04-23 12:30:00,85.5,9.0,We waited for about one minute at the front desk but no one acknowledged us. We then walked in and yelled out and a staff member appeared. There was no one else there. The two staff were helpful once they saw us though.
FC Bristol,20334850,2026-04-23 12:30:00,85.5,9.0,We were told to sit anywhere.
FC Bristol,20334850,2026-04-23 12:30:00,85.5,9.0,"Yes, wearing clean uniforms."
FC Bristol,20334850,2026-04-23 12:30:00,85.5,9.0,Yes.
FC Bristol,20896182,2026-04-22 17:00:00,97.6,9.0,""
FC Bristol,20896182,2026-04-22 17:00:00,97.6,9.0,"Had such a great time, very acomadtiny fir my friends"
FC Bristol,20896182,2026-04-22 17:00:00,97.6,9.0,Loved them all
FC Bristol,20896182,2026-04-22 17:00:00,97.6,9.0,Star pubs night out
FC Bristol,20896494,2026-04-22 18:00:00,96.8,10.0,""
FC Bristol,20896494,2026-04-22 18:00:00,96.8,10.0,Cute and a great vibe that added to the experience
FC Bristol,20896494,2026-04-22 18:00:00,96.8,10.0,Solid draught beers
FC Bristol,20896494,2026-04-22 18:00:00,96.8,10.0,Vlad
FC Bristol,20897392,2026-04-22 20:30:00,100.0,10.0,""
FC Bristol,20897392,2026-04-22 20:30:00,100.0,10.0,Guinness was great
FC Bristol,20909565,2026-04-23 20:30:00,100.0,10.0,""
FC Bristol,20909565,2026-04-23 20:30:00,100.0,10.0,Molly and Amy
FC Bristol,20909565,2026-04-23 20:30:00,100.0,10.0,Top drawer
FC Bristol,20909804,2026-04-23 20:00:00,100.0,10.0,""
FC Bristol,20909804,2026-04-23 20:00:00,100.0,10.0,"Games were good, drink orders were quick!"
FC Bristol,20909804,2026-04-23 20:00:00,100.0,10.0,Mollie
FC Bristol,20909804,2026-04-23 20:00:00,100.0,10.0,Mollie was great helping us sort our bill out
FC Bristol,20909804,2026-04-23 20:00:00,100.0,10.0,Would have extended but you were fully booked!
FC Bristol,20909856,2026-04-23 20:30:00,100.0,10.0,""
FC Bristol,20909856,2026-04-23 20:30:00,100.0,10.0,"Booked in for my birthday. Had a really good time and the food was great, we had a selection of sliders and a pepperoni pizza"
FC Bristol,20909856,2026-04-23 20:30:00,100.0,10.0,Kaye
FC Bristol,20909856,2026-04-23 20:30:00,100.0,10.0,Really good service and even brought out a brownie with a candle on it. Really made my night
FC Bristol,20918362,2026-04-23 18:00:00,95.1,10.0,""
FC Bristol,20918362,2026-04-23 18:00:00,95.1,10.0,"Booking for work social, very easy from start to finish. Good atmosphere and good time had by all."
FC Bristol,20920981,2026-04-24 21:00:00,100.0,10.0,""
