Branch,Visit Id,Visit Date Time,Visit Score,Recommend Score,Comments,Visit Summary
FC Oxford,19601228,2026-02-04 12:45:00,79.5,8.0,"","On arrival, the venue was clean and tidy, there was good music at a nice volume. When we arrived, there was one couple sitting having food but no staff were present to welcome us. When they did welcome us into the venue, we were told we could choose our own table, but we weren’t told that food and drink menus were on the table for us to view. After six or seven minutes, nobody came to take our food and drink order, so I ordered this at the bar, which I assumed was the process for this venue. The toilets are well signposted and extremely clean inside. Our drinks and food arrived very quickly and seemed freshly prepared. Once the food arrived, the waitress checked in on us, but it would've been nice to be thanked and given a departing comment when we left the venue."
FC Oxford,19601228,2026-02-04 12:45:00,79.5,8.0,Bar order. I paid when ordering.,"On arrival, the venue was clean and tidy, there was good music at a nice volume. When we arrived, there was one couple sitting having food but no staff were present to welcome us. When they did welcome us into the venue, we were told we could choose our own table, but we weren’t told that food and drink menus were on the table for us to view. After six or seven minutes, nobody came to take our food and drink order, so I ordered this at the bar, which I assumed was the process for this venue. The toilets are well signposted and extremely clean inside. Our drinks and food arrived very quickly and seemed freshly prepared. Once the food arrived, the waitress checked in on us, but it would've been nice to be thanked and given a departing comment when we left the venue."
FC Oxford,19601228,2026-02-04 12:45:00,79.5,8.0,Both waitresses were tidy.,"On arrival, the venue was clean and tidy, there was good music at a nice volume. When we arrived, there was one couple sitting having food but no staff were present to welcome us. When they did welcome us into the venue, we were told we could choose our own table, but we weren’t told that food and drink menus were on the table for us to view. After six or seven minutes, nobody came to take our food and drink order, so I ordered this at the bar, which I assumed was the process for this venue. The toilets are well signposted and extremely clean inside. Our drinks and food arrived very quickly and seemed freshly prepared. Once the food arrived, the waitress checked in on us, but it would've been nice to be thanked and given a departing comment when we left the venue."
FC Oxford,19601228,2026-02-04 12:45:00,79.5,8.0,Comfortable with a nice atmosphere.,"On arrival, the venue was clean and tidy, there was good music at a nice volume. When we arrived, there was one couple sitting having food but no staff were present to welcome us. When they did welcome us into the venue, we were told we could choose our own table, but we weren’t told that food and drink menus were on the table for us to view. After six or seven minutes, nobody came to take our food and drink order, so I ordered this at the bar, which I assumed was the process for this venue. The toilets are well signposted and extremely clean inside. Our drinks and food arrived very quickly and seemed freshly prepared. Once the food arrived, the waitress checked in on us, but it would've been nice to be thanked and given a departing comment when we left the venue."
FC Oxford,19601228,2026-02-04 12:45:00,79.5,8.0,"'Do you need anything else?' We then asked for ketchup, salt and vinegar.","On arrival, the venue was clean and tidy, there was good music at a nice volume. When we arrived, there was one couple sitting having food but no staff were present to welcome us. When they did welcome us into the venue, we were told we could choose our own table, but we weren’t told that food and drink menus were on the table for us to view. After six or seven minutes, nobody came to take our food and drink order, so I ordered this at the bar, which I assumed was the process for this venue. The toilets are well signposted and extremely clean inside. Our drinks and food arrived very quickly and seemed freshly prepared. Once the food arrived, the waitress checked in on us, but it would've been nice to be thanked and given a departing comment when we left the venue."
FC Oxford,19601228,2026-02-04 12:45:00,79.5,8.0,Everywhere was clean and tidy.,"On arrival, the venue was clean and tidy, there was good music at a nice volume. When we arrived, there was one couple sitting having food but no staff were present to welcome us. When they did welcome us into the venue, we were told we could choose our own table, but we weren’t told that food and drink menus were on the table for us to view. After six or seven minutes, nobody came to take our food and drink order, so I ordered this at the bar, which I assumed was the process for this venue. The toilets are well signposted and extremely clean inside. Our drinks and food arrived very quickly and seemed freshly prepared. Once the food arrived, the waitress checked in on us, but it would've been nice to be thanked and given a departing comment when we left the venue."
FC Oxford,19601228,2026-02-04 12:45:00,79.5,8.0,Food arrived within 15 minutes.,"On arrival, the venue was clean and tidy, there was good music at a nice volume. When we arrived, there was one couple sitting having food but no staff were present to welcome us. When they did welcome us into the venue, we were told we could choose our own table, but we weren’t told that food and drink menus were on the table for us to view. After six or seven minutes, nobody came to take our food and drink order, so I ordered this at the bar, which I assumed was the process for this venue. The toilets are well signposted and extremely clean inside. Our drinks and food arrived very quickly and seemed freshly prepared. Once the food arrived, the waitress checked in on us, but it would've been nice to be thanked and given a departing comment when we left the venue."
FC Oxford,19601228,2026-02-04 12:45:00,79.5,8.0,Food is at the higher end of the price bracket for pub-style food.,"On arrival, the venue was clean and tidy, there was good music at a nice volume. When we arrived, there was one couple sitting having food but no staff were present to welcome us. When they did welcome us into the venue, we were told we could choose our own table, but we weren’t told that food and drink menus were on the table for us to view. After six or seven minutes, nobody came to take our food and drink order, so I ordered this at the bar, which I assumed was the process for this venue. The toilets are well signposted and extremely clean inside. Our drinks and food arrived very quickly and seemed freshly prepared. Once the food arrived, the waitress checked in on us, but it would've been nice to be thanked and given a departing comment when we left the venue."
FC Oxford,19601228,2026-02-04 12:45:00,79.5,8.0,"Good music, nice volume, felt comfortable.","On arrival, the venue was clean and tidy, there was good music at a nice volume. When we arrived, there was one couple sitting having food but no staff were present to welcome us. When they did welcome us into the venue, we were told we could choose our own table, but we weren’t told that food and drink menus were on the table for us to view. After six or seven minutes, nobody came to take our food and drink order, so I ordered this at the bar, which I assumed was the process for this venue. The toilets are well signposted and extremely clean inside. Our drinks and food arrived very quickly and seemed freshly prepared. Once the food arrived, the waitress checked in on us, but it would've been nice to be thanked and given a departing comment when we left the venue."
FC Oxford,19601228,2026-02-04 12:45:00,79.5,8.0,"Happy, smiling staff. Seemed to be enjoying themselves.","On arrival, the venue was clean and tidy, there was good music at a nice volume. When we arrived, there was one couple sitting having food but no staff were present to welcome us. When they did welcome us into the venue, we were told we could choose our own table, but we weren’t told that food and drink menus were on the table for us to view. After six or seven minutes, nobody came to take our food and drink order, so I ordered this at the bar, which I assumed was the process for this venue. The toilets are well signposted and extremely clean inside. Our drinks and food arrived very quickly and seemed freshly prepared. Once the food arrived, the waitress checked in on us, but it would've been nice to be thanked and given a departing comment when we left the venue."
